地區,地點,無障礙場地出入口,暢通易達升降機,暢通易達洗手間,暢通易達停車位,暢通易達服務櫃台,視像火警警報,適當的暢通易達標誌,觸覺引路帶,觸覺點字及觸覺平面圖,聆聽輔助系統,無障礙公用地方,無障礙通道,視像顯示板,舞台 - 可移動升降台,舞台 - 固定升降台,舞台 - 斜道
沙田,廣源社區會堂,*,,*,,*,*,*,*,*,*,*,*,,,*,
沙田,瀝源社區會堂,*,*,*,,*,*,*,*,*,*,*,*,,,*,
沙田,博康社區會堂,*,,*,,*,*,*,*,*,*,*,*,,,*,
沙田,沙角社區會堂,*,*,*,,*,,*,*,*,*,*,*,,,,
沙田,新田圍社區會堂,*,*,*,,*,*,*,*,*,*,*,*,,,*,
沙田,禾輋社區會堂,*,*,*,,*,*,*,*,*,*,*,*,,,*,
沙田,利安社區會堂 ,*,*,*,,*,*,*,*,*,*,*,*,,,,*
沙田,美田社區會堂 ,*,*,*,*,*,*,*,*,*,*,*,*,,,,*
沙田,圓洲角社區會堂 ,*,*,*,,*,*,*,*,*,*,*,*,,,,*
大埔,大埔社區中心 ,*,*,*,*,*,*,*,*,*,,*,*,,*,,
大埔,富亨鄰里社區中心,*,*,*,,*,*,*,*,*,*,*,*,,,,*
大埔,太和鄰里社區中心 ,*,*,*,,*,*,*,*,*,*,*,*,,,,*
大埔,運頭塘鄰里社區中心,*,*,*,,*,*,*,*,*,*,*,*,,,,*
大埔,富善社區會堂 ,*,,*,,*,*,*,*,*,*,*,*,,,,
大埔,廣福社區會堂 ,*,,*,,*,*,*,*,*,*,*,*,,,,
大埔,大元社區會堂 ,*,,*,,*,*,*,*,*,*,*,*,,,,
荃灣,雅麗珊社區中心,*,*,*,*,*,*,*,*,*,,*,*,,,,*
荃灣,梨木樹社區會堂 ,*,,*,,*,*,*,*,*,,*,*,,*,,
荃灣,石圍角社區會堂,*,,*,,*,*,*,*,*,,*,*,,,,
荃灣,機場核心計劃展覽中心,*,*,*,,*,*,*,*,*,,*,*,,,,
荃灣,西樓角花園多功能活動中心,*,,*,,*,*,*,*,*,*,*,*,,,,
屯門,安定 / 友愛社區中心,*,*,*,,*,*,*,*,*,,*,*,,,,
屯門,蝴蝶灣社區中心 ,*,*,*,,*,*,*,*,*,,*,*,,,,
屯門,良景社區中心,*,*,*,,,,*,*,*,,,,,,,
屯門,建生社區會堂,*,,*,,*,,*,*,*,,,,,,,
屯門,山景社區會堂 ,*,,*,,*,*,*,*,*,*,,,,*,,
屯門,大興社區會堂,*,,*,,,,,*,*,,,*,,,,
屯門,屯門市中心社區會堂,*,*,*,,*,*,*,*,*,,*,*,,,*,
屯門,井財街社區會堂,*,*,*,,*,*,*,*,*,,*,*,,,*,
屯門,湖山路社區會堂 ,*,*,*,*,*,*,*,*,*,,*,*,,,,
屯門,龍逸社區會堂,*,*,*,,*,,*,*,*,,*,*,,,,
屯門,兆麟社區會堂,*,*,*,*,*,*,*,*,*,,*,*,,,,*
元朗,天耀社區中心,*,*,*,,*,*,*,*,*,,*,*,,,,
元朗,天瑞社區中心,*,*,*,,*,*,*,*,*,,*,*,,,*,
元朗,朗屏社區會堂 ,*,,*,,*,*,*,*,,,*,*,,,*,
元朗,天晴社區會堂,*,,*,,*,*,*,*,*,*,*,*,,,,*
元朗,天暉路社區會堂,*,,*,*,*,*,*,*,*,*,*,*,,,,*
元朗,元朗市東社區會堂 ,*,,*,,*,*,*,*,*,*,*,*,,,,*
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
